src_id,dst_id,weight,shared_controller_cnt
187,2228,1.0,1
187,2241,1.0,1
187,2289,1.0,1
187,2297,1.0,1
187,2308,1.0,1
187,2313,1.0,1
187,2315,1.0,1
187,2348,1.0,1
187,2353,1.0,1
187,2467,1.0,1
187,2469,1.0,1
188,947,1.0,1
188,2234,1.0,1
191,96,1.0,1
191,136,1.0,1
191,169,1.0,1
191,183,1.0,1
191,187,1.0,1
191,820,1.0,1
191,852,1.0,1
191,861,1.0,1
191,887,1.0,1
191,959,1.0,1
191,1038,1.0,1
191,1192,1.0,1
191,1201,1.0,1
191,1272,1.0,1
191,2192,1.0,1
191,2208,1.0,1
191,2212,1.0,1
191,2228,1.0,1
191,2241,1.0,1
191,2289,1.0,1
191,2297,1.0,1
191,2308,1.0,1
191,2313,1.0,1
191,2315,1.0,1
191,2348,1.0,1
191,2353,1.0,1
191,2467,1.0,1
191,2469,1.0,1
211,1335,1.0,1
212,2589,1.0,1
229,445,1.0,1
229,2247,1.0,1
244,809,1.0,1
247,2745,4.0,4
276,2557,1.0,1
281,1034,1.0,1
310,923,3.0,3
311,136,1.0,1
311,183,1.0,1
332,2815,1.0,1
375,2301,1.0,1
375,2590,1.0,1
385,891,1.0,1
410,887,1.0,1
439,168,1.0,1
440,558,1.0,1
440,2240,1.0,1
445,229,1.0,1
445,2247,1.0,1
458,818,1.0,1
484,1060,1.0,1
498,2906,1.0,1
522,1030,1.0,1
557,2752,1.0,1
558,440,1.0,1
558,2240,1.0,1
597,1211,1.0,1
786,1246,1.0,1
809,244,1.0,1
818,458,1.0,1
820,96,1.0,1
820,136,1.0,1
820,169,1.0,1
820,183,1.0,1
820,187,1.0,1
820,191,1.0,1
820,852,1.0,1
820,861,1.0,1
820,887,1.0,1
820,959,1.0,1
820,1038,1.0,1
820,1192,1.0,1
820,1201,1.0,1
820,1272,1.0,1
820,2192,1.0,1
820,2208,1.0,1
820,2212,1.0,1
820,2228,1.0,1
820,2241,1.0,1
820,2289,1.0,1
820,2297,1.0,1
820,2308,1.0,1
820,2313,1.0,1
820,2315,1.0,1
820,2348,1.0,1
820,2353,1.0,1
820,2467,1.0,1
820,2469,1.0,1
827,2307,1.0,1
832,1043,1.0,1
835,2736,1.0,1
843,1032,1.0,1
852,96,1.0,1
852,136,1.0,1
852,169,1.0,1
852,183,1.0,1
852,187,1.0,1
852,191,1.0,1
852,820,1.0,1
852,861,1.0,1
852,887,1.0,1
852,959,1.0,1
852,1038,1.0,1
852,1192,1.0,1
852,1201,1.0,1
852,1272,1.0,1
852,2192,1.0,1
852,2208,1.0,1
852,2212,1.0,1
852,2228,1.0,1
852,2241,1.0,1
852,2289,1.0,1
852,2297,1.0,1
852,2308,1.0,1
852,2313,1.0,1
852,2315,1.0,1
852,2348,1.0,1
852,2353,1.0,1
852,2467,1.0,1
852,2469,1.0,1
861,96,1.0,1
861,136,1.0,1
861,169,1.0,1
861,183,1.0,1
861,187,2.0,2
861,191,1.0,1
861,820,1.0,1
861,852,1.0,1
861,887,1.0,1
861,959,1.0,1
861,1038,1.0,1
861,1192,1.0,1
861,1201,1.0,1
861,1272,1.0,1
861,2192,1.0,1
861,2208,1.0,1
861,2212,1.0,1
861,2228,1.0,1
861,2241,1.0,1
861,2289,1.0,1
861,2297,1.0,1
861,2308,1.0,1
861,2313,1.0,1
861,2315,1.0,1
861,2348,1.0,1
861,2353,1.0,1
861,2467,1.0,1
861,2469,1.0,1
872,2544,1.0,1
887,96,1.0,1
887,136,1.0,1
887,169,1.0,1
887,183,1.0,1
887,187,1.0,1
887,191,1.0,1
887,410,1.0,1
887,820,1.0,1
887,852,1.0,1
887,861,1.0,1
887,959,1.0,1
887,1038,1.0,1
887,1192,1.0,1
887,1201,1.0,1
887,1272,1.0,1
887,2192,1.0,1
887,2208,1.0,1
887,2212,1.0,1
887,2228,1.0,1
887,2241,1.0,1
887,2289,1.0,1
887,2297,1.0,1
887,2308,1.0,1
887,2313,1.0,1
887,2315,1.0,1
887,2348,1.0,1
887,2353,1.0,1
887,2467,1.0,1
887,2469,1.0,1
891,385,1.0,1
908,952,1.0,1
923,310,3.0,3
947,188,1.0,1
947,2234,1.0,1
952,908,1.0,1
959,96,1.0,1
959,136,1.0,1
959,169,1.0,1
959,183,1.0,1
959,187,1.0,1
959,191,1.0,1
959,820,1.0,1
959,852,1.0,1
959,861,1.0,1
959,887,1.0,1
959,1038,2.0,2
959,1192,1.0,1
959,1201,1.0,1
959,1272,1.0,1
959,2192,1.0,1
959,2208,1.0,1
959,2212,1.0,1
959,2228,1.0,1
959,2241,1.0,1
959,2289,1.0,1
959,2297,1.0,1
959,2308,1.0,1
959,2313,1.0,1
959,2315,1.0,1
959,2348,1.0,1
959,2353,1.0,1
959,2467,1.0,1
959,2469,1.0,1
973,2351,1.0,1
1030,522,1.0,1
1032,843,1.0,1
1034,281,1.0,1
1035,1153,1.0,1
1038,96,1.0,1
1038,136,1.0,1
1038,169,1.0,1
1038,183,1.0,1
